
!	.
"	"
træ	N-A
træ$	N-D
træla	VBPI
trælir	NS-A
trælir	NS-N
trælka	VB
trælkvinnur	NS-A
trælur	N-N
trælur$	N-N
trættu	VBDI
trætumál	N-N
tríati	NUM-A
tríggir	NUM-N
tríggjar	NUM-A
trú$	N-D
trúar	N-G
trúaði	VBDI
trúfastur	ADJ-N
trúgv	N-A
trúgv	N-D
trúgv$	N-N
trúgva	ADJ-A
trúgva	VB
trúgva	VBPI
trúgvandi	VAG
trúgvi	VBPI
trúgvið	VBI
trúliga	ADV
trúð	VBN
trúði	VBDI
trúðu	VBDI
trý	NUM-A
trý	NUM-N
trýr	VBPI
trýrt	VBPI
trýsinstjúgu	NUM-N
trýsinstjúvu	NUM-N
tunga	N-N
tungliga	ADV
tungum	NS-D
tungumálum	NS-D
tungur	NS-N
turka	VB
turkaði	VBDI
turrar	ADJ-A
tveggja	NUM-G
tveimum	NUM-D
tveingir$	NS-A
tveir	NUM-A
tveir	NUM-N
tvey	NUM-A
tvingar	VBPI
tváa	VB
tváa	VBI
tváar	VBPI
tváað	VBN
tváaði	VBDI
tváaðu	VBDI
tváaður	VAN
tvær	NUM-A
tvíburður	N-N
tvídráttur	N-N
tvörtur	ADV
tykist	VBPI
tykkara	N-G
tykkara	PRO-G
tykkum	PRO-A
tykkum	PRO-D
tyngt	VAN
tysta	VB
tysta	VBPI
tystur	ADJ-N
tá	ADV
tá	WADV
tá$	ADV
tá$	WADV
tápligan	ADJ-A
tár	NS-A
tægur	NS-A
tæna	VB
tænar$	N-A
tænar$	N-N
tænar$	NS-D
tænara	N-A
tænara	N-D
tænara	N-G
tænara	NPR-A
tænara$	N-D
tænarar	NS-A
tænarar	NS-N
tænarar$	NS-A
tænarar$	NS-N
tænari	N-N
tænarum	NS-D
tænastu	N-D
tænað	VAN
tænað	VBN
tænaði	VBDI
tænaðu	VBDI
tær	D-A
tær	D-N
tær	PRO-A
tær	PRO-D
tær	PRO-N
tætt	ADJ-N
tí	D-A
tí	D-D
tí	PRO-D
tí$	PRO-D
tíggjunda	ADJ-A
tílíkan	ADJ-A
tím$	N-A
tím$	N-N
tíma	N-A
tíma	N-D
tímar	NS-A
tímar	NS-N
tími	N-N
tín	PRO-A
tín	PRO-G
tín	PRO-N
tína	PRO-A
tína	PRO-G
tínar	PRO-A
tínar	PRO-N
tíni	PRO-A
tíni	PRO-D
tíni	PRO-N
tínir	PRO-N
tíns	PRO-G
tínum	PRO-D
títt	PRO-A
títt	PRO-N
tíð	N-A
tíð	N-D
tíð	N-N
tíð$	N-D
tíð$	N-N
tíðind$	NS-A
tíðind$	NS-N
tíðir	NS-A
tíðir	NS-N
tíðliga	ADV
tíðu$	NS-D
tíðum	NS-D
tó	ADV
tó	P
tók	VBDI
tóktist	VBDI
tóku	VBDI
tólv	NUM-A
tólv	NUM-D
tólv	NUM-N
törvandi	VAG
törvar	VBPI
törvaði	VBDI
törvur	N-N
tú	PRO-N
túsund	NUM-N
týddi	VBDI
týnd	VAN
týða	VB
uggan$	N-A
ugganar	N-G
um	ADV
um	P
um	RP
um	WQ
um$	P
um$	RP
umboð	N-A
umboði	N-D
umbundin	VAN
umbúna	N-D
umhugsan	N-A
umliðin	VBN
ummæli	N-A
umringaðu	VBPI
umsjónarstarv	N-A
umskar	VBPI
umskera	VBPI
umskering	N-A
umskering$	N-A
umskering$	N-D
umskeringarsáttmál$	N-A
umsorgan	N-A
umvending	N-A
umvending	N-D
umvendingar	N-G
undan	ADV
undan	P
undarligt	ADJ-N
undir	ADV
undir	P
undran	N-D
undrast	VB
undrast	VBPI
undraði	VBDI
undraðist	VBDI
undraðu	VBDI
undraðust	VBDI
undrist	VBI
undur	NS-A
undur	NS-N
undurgerningar	NS-A
undurum	NS-D
ungan	ADJ-A
ungmenni	NS-N
ungu	ADJ-N
ungum	ADJ-D
unna	VB
unnast	VB
upp	RP
upp$	ADV
upp$	RP
uppaftur	ADV
uppbygt	VAN
upphavi	N-D
upphevjaður	VAN
uppi	ADV
upplestur$	N-A
upplærdir	VAN
upplærdur	VAN
upplýsir	VBPI
uppreisn	N-A
uppreisn$	N-A
uppreisn$	N-D
uppreisn$	N-N
uppreisnar	N-G
uppreist	N-A
upprisin	VBN
upprættur	ADJ-N
uppstig	N-A
urtagarð$	N-D
urtagarðsmaður$	N-N
urtagarður	N-N
urtum	NS-D
utan	P
uten	P
uttan	ADV
uttan	P
uttan$	ADV
uttasta	ADJS-A
vagni	N-D
vagnur$	N-N
vaknaði	VBDI
vaks	VBDI
vaksa	VB
vakt	N-A
vakt	VBN
vakt$	N-D
vaktarmenn$	NS-A
vaktarskiftum	NS-D
vakti	VBDI
vaktu	VBDI
vald	N-A
vald	VAN
valdi	N-D
valdi	VBDI
valdir	VAN
valdu	VBDI
valt	VBN
vanartiga	ADJ-N
vandraði	VBDI
vanför	ADJ-N
vanförum	ADJ-D
vanheilaga	ADJ-A
vanheilagt	ADJ-A
vanheilagt	ADJ-N
vanir	ADJ-N
vankunnu	ADJ-D
vankunnu	N-D
vann	VBDI
vanskapa	VBPI
vantrúgvin	ADJ-N
vantrúnir	ADJ-N
vanur	ADJ-N
vanvirdur	VAN
vanvirða	VB
vanvirðing	N-A
vanvirðir	VBPI
vanvirðisliga	ADV
vanæra	VBPI
var	BEDI
vara	VB
vardi	VBDI
varir	VBPI
varið	VBI
varnast	VBPI
vart	BEDI
varur	ADJ-N
varð	RDDI
varðhald	N-A
varðhald$	N-A
varðmenn	NS-N
varðmonnu$	NS-D
varðveit	VBI
varðveita	VB
varðveiti	VBPI
varðveitir	VBPI
varðveitslu	N-A
varðveitslu	N-D
varðveitt	VBN
varðveitti	VBDI
vaska	VBI
vaskaði	VBDI
vaskiílát$	N-A
vatn	N-A
vatn	N-N
vatn$	N-A
vatn$	N-D
vatn$	N-N
vatni	N-D
vatnsker	N-N
vatnsker$	NS-A
vatnskerald	N-A
vaxa	VBPI
veg	N-A
veg$	N-A
veg$	N-D
vegir	NS-A
vegleiða	VB
vegna	P
vegum	NS-A
vegur$	N-N
vei	INTJ
veik	VBDI
veit	VBPI
veita	VB
veitast	VB
veitir	VBPI
veitst	VBPI
veitt	VBN
veitti	VBDI
vekið	VBI
vekja	VB
vekslar$	NS-D
veksur	VBPI
vekur	VBPI
vellir	VBPI
vend	VAN
vend	VBI
venda	VB
venda	VBPI
venda	VBPS
vendi	VBDI
vendi	VBPI
vendir	VBPI
vendið	VBI
vendu	VBDI
ver	BEI
vera	BE
verandi	BAG
verdar	ADJ-A
verdigur	ADJ-N
verdir	ADJ-N
verdur	ADJ-N
verfaðir	N-N
veri	BEPS
verið	BEI
verið	BEN
verk	N-A
verk	N-N
verk	NS-A
verkbrotin	ADJ-N
verkum	NS-D
vermdi	VBDI
vermdu	VBDI
verri	ADJR-N
vert	ADJ-N
veru	N-D
verð$	N-A
verð$	N-D
verða	RD
verða	RDPI
verðandi	RAG
verði	RDPI
verði	RDPS
verðið	RDI
verður	RDPI
vetur	N-N
veður	N-A
vik$	N-D
vikast	VB
vil	MDPI
vil	VBPI
vildi	MDDI
vildu	MDDI
vilja	MD
vilja	MDPI
vilja	N-A
vilja	N-D
vilja	VBPI
vilji	N-N
villan	ADJ-A
villdjór	NS-A
villja	MDPI
villleiðir	VBPI
vilstir	VBN
vilt	MDPI
vilt	VBPI
vindur$	N-N
vinir	NS-A
vinir	NS-N
vinmonnum	NS-D
vinna	VB
vinning	N-A
vinstru	ADJ-A
vinur	N-N
virdir	VAN
virdur	VAN
virð$	N-A
virð$	N-D
virða	VBPI
virðiliga	ADV
visnaða	ADJ-A
visnum	ADJ-D
visti	VBDI
vistu	VBDI
vit	PRO-N
vita	VB
vita	VBPI
vitast	VB
vitað	VBN
vitigan	ADJ-A
vitið	N-A
vitið	VBI
vitja	VB
vitn$	NS-N
vitna	VB
vitna	VBPI
vitnar	VBPI
vitnað	VBN
vitnaði	VBDI
vitni	N-A
vitni	N-N
vitni	NS-N
vitni	VBPI
vitnisburð	N-A
vitnisburðar	N-G
vitnisburði	N-D
vitnisburður	N-N
vitnu$	NS-D
vitterliga	ADV
vituligt	ADJ-N
við	ALSO
við	P
við	PRO-N
við	RP
við	RPX
við$	P
viðgerð	N-A
viðhald	N-A
viðurskifti	NS-A
viðvíkjandi	VAG
voru	BEDI
vorðin	RDN
vorðið	RDN
vorðnir	RDN
vovin	VAN
vrakaður	VAN
vreiði	N-N
vreiðir	ADJ-N
vuksu	VBDI
vunnið	VBN
vágtið	VBI
vándra	ADJ-G
váp$	N-D
vár	PRO-N
vára	PRO-G
várs	PRO-G
váða	N-A
væl	ADV
vældu	VBDI
vælsigna	VB
vælsignaður	VAN
vælsignið	VBI
vænta	VB
vænta	VBPI
væntar	VBPI
væntaði	VBDI
vík	VBI
víkið	VBI
vín	N-A
vín	N-N
vín$	N-A
víngarðsmaður$	N-N
víni	N-D
víntræ$	N-D
víntræ$	N-N
vísa	VB
vísdóm	N-A
vísdómi	N-D
vísir	ADJ-N
víst	ADV
vísti	VBDI
vístu	VBDI
vítt	ADJ-N
víða	ADV
vón	N-A
vón	N-D
vón	N-N
vóru	BEDI
vóru	BEPI
vórðu	BEDI
vórðu	RDDI
völd	NS-A
ymistum	Q-D
yndi	N-A
yndisligur	ADJ-N
yngri	ADJR-N
ytsta	ADJS-D
ytstu	ADJS-A
yvir	ADVR
yvir	P
yvir	RP
yvir$	ADV
yvir$	RP
yvirflóð	N-A
yvirklæð$	NS-D
yvirmenn$	NS-A
yvirmonnum	NS-D
yvirskrift	N-A
yvirskrift$	N-A
yvri	N-N
Á	P
Ábraham	NPR-A
Ábraham	NPR-N
Ábrahami	NPR-D
Ábrahams	NPR-G
Ánanias	NPR-N
Ápostl$	NS-D
Ápostlar$	NS-N
Ár	NS-A
Áron	NPR-A
Árum	NS-D
Árábar	NPRS-N
Ásiu	NPR-D
Ávökstur	N-A
Ávökstur	NS-A
Áðr$	ADVR
Ænon	NPR-D
Ær	N-A
Ær	N-N
Ætla	VBPI
Ætlið	VBI
Í	P
Ílan	N-N
Ísai	NPR-G
Ísak	NPR-A
Ísaki	NPR-D
Ísaks	NPR-G
Ísakur	NPR-N
Ísrael	NPR-A
Ísrael	NPR-D
Ísraelitur	NPR-N
Ísraels	NPR-G
Ísraelsmenn	NPRS-A
Ísraelsmenn	NPRS-N
Ódn$	N-A
Ódnarveður	N-N
Ódnir	NS-N
Ófrukt	N-N
Ókunnum	ADJ-D
Ómyndigu	ADJ-D
Ónda	ADJ-A
Óndu	ADJ-A
Órætt	N-A
Órættilig	ADJ-A
Ósemju	N-A
Óttast	VBI
Óttist	VBI
Ögg	N-D
Öll	PRO-A
Öll	PRO-N
Öll	Q-A
Öllum	PRO-D
Öllum	Q-D
Ör$	N-N
Övarsta	N-D
Övarsta$	N-D
Övarsti	N-N
Övrigheit	N-A
Öðrum	OTHER-D
Úlvar	NS-A
Úlvar	NS-N
Útlagna	N-G
Útlagnan	N-A
Útlagnað$	N-A
Útlagnað$	N-D
Útnesi	N-D
á	N-D
á	P
á	RP
á$	P
á$	RP
ágrýtni	N-D
áhaldandi	VAG
ákalla	VBPI
ákallar	VBPI
ákallaðu	VBDI
áminnilsi	N-A
áminning	N-A
áminningar	NS-A
áminningarorð	N-A
áminti	VBDI
ámintu	VBDI
ápostl$	NS-D
ápostla$	NS-G
ápostladömi	N-D
ápostlar$	NS-A
ápostlar$	NS-N
ápostlu$	NS-D
ár	N-A
ár	NS-A
ár	NS-D
ár	NS-N
ár$	N-A
ára	NS-G
árend	N-N
ásanna	VB
ásannaði	VBDI
ásett	VBN
ásjón	N-A
ásjón	N-D
ásjón	N-N
át	VBDI
átalaðir	VAN
átalaðu	VBDI
átt	VBN
átta	NUM-A
átta	NUM-D
átta	NUM-N
áttanda	ADJ-A
átti	VBDI
áttu	VBDI
ávum	NS-D
ávökst	N-A
ávökstur	N-N
áðr$	ADVR
áður	ADVR
ær$	N-A
æra	N-N
æra	VB
æra	VBPI
ærast	VB
æri	VBPI
ærir	VBPI
æru	N-A
æt	VBDI
ætla	VB
ætla	VBPI
ætlan	N-N
ætlar	VBPI
ætlað	VAN
ætlaði	VBDI
ætlaðir	VAN
ætlaðu	VBDI
ætlið	VBI
ætt	N-A
ætt	N-D
ætt	N-N
ættarfaðir$	N-A
ættarfedrar$	NS-A
ættarfedrar$	NS-N
ættarfólki	N-D
ættarmenn	NS-N
ættaður	VAN
ættir	NS-N
ættstóru	ADJ-A
æv$	N-D
æviga	ADJ-A
æviga	ADJ-G
æviga	ADJ-N
ævigt	ADJ-A
ævigt	ADJ-N
ævir	NS-A
í	P
í	RP
í$	P
í$	RP
íhald	N-A
ílat	N-N
óblandaðum	ADJ-D
óbragdað	ADJ-N
óeinigt	ADJ-N
ógvuliga	ADV
ókendar	ADJ-A
ókunnigu	ADJ-D
ókunnigum	ADJ-D
ólátaðir	ADJ-N
ólærdir	ADJ-N
ólærdur	ADJ-N
ólýðin	ADJ-N
ónda	ADJ-D
ónda	ADJ-N
óndi	ADJ-N
óndir	ADJ-N
óramikil	ADJ-N
óreina	ADJ-A
óreina	ADJ-N
óreinar	ADJ-A
óreinir	ADJ-N
óreinsan	N-D
óreint	ADJ-A
óreint	ADJ-N
óreinum	ADJ-D
órætt	N-A
órættarlön$	N-A
órættaðan	VAN-A
órættaði	VBDI
órættur	N-N
órættvísifjötri	N-D
órógvað	VBN
órógvaði	VBDI
ósemja	N-N
óseymaður	ADJ-N
óslökkiligum	ADJ-D
ósvikaligu	ADJ-A
ósámiligt	ADJ-A
ósömiligt	ADJ-A
ósúrgaðu	ADJ-G
ótta	N-D
óttafull	ADJ-N
óttafullir	ADJ-N
óttafult	ADJ-N
óttast	VBPI
óttaðist	VBDI
óttaðust	VBDI
ótti	N-N
óttist	VBI
óttist	VBPS
ótu	VBDI
óumskornar	ADJ-A
óumskornu	ADJ-N
óvandaligar	ADJ-A
óvissu	N-D
óðari	ADVR
óðir	ADJ-N
óður	ADJ-N
ögn	N-N
ök$	N-A
öklar	NS-N
öktist	VBDI
öll	Q-A
öll	Q-N
öllum	Q-D
ör	N-A
örindi	NS-A
örindi	NS-N
ösing	N-A
ösku	N-D
östu	VBDI
övarst$	N-A
övundaðu	VBPI
öðrum	OTHER-D
öðrum	OTHERS-D
úlv$	N-A
úlvur$	N-N
úr	P
úr	RP
út	RP
út$	RP
útborin	VAN
útbýting$	N-A
útdyr$	NS-A
úthelt	VBN
útinna	VB
útkoyrdir	VAN
útlagt	VAN
útlegd$	N-D
útlendingar	NS-N
útlendingur	N-N
útrættað	VBN
útsjónd	N-D
úttýðað	VAN
útvalt	VB
útvalt	VBN
ýsopslegg	N-A
