Fossavatnsgangan	nvengs
í	af
fyrsta	lheove
sinn	nheo
sem	ct
ég	fp1en
er	sfg1en
með	af
eigin	lkeoof
rekstur	nkeo
og	c
ég	fp1en
hef	sfg1en
lært	sþghen
mikið	lheosf
frá	af
því	fpheþ
að	c
ég	fp1en
tók	sfg1eþ
við	aa
og	c
tileinkað	sþghen
mér	fp1eþ
þolinmæði	nveo
.	pl

Spænskt	lhensf
þjóðfélag	nhen
er	sfg3en
mjög	aa
ólíkt	lhensf
því	faheþ
íslenska	lheþvf
og	c
á	sfg3en
það	fphen
sérstaklega	aa
við	aa
um	af
samskipti	nhfo
við	af
hið	gheo
opinbera	lheovf
sem	ct
lærist	sfm3en
smátt	aa
og	c
smátt	aa
.	pl

Hjá	af
mér	fp1eþ
vinnur	sfg3en
fólk	nhen
,	pk
sem	ct
er	sfg3en
m.a.	ks
frá	af
Ekvador	n----s
og	c
Argentínu	nveþ-s
sem	ct
komið	sþghen
hefur	sfg3en
til	af
Mallorka	n----s
í	af
leit	nveþ
að	af
betra	lheþvm
lífi	nheþ
.	pl

Eftir	af
að	cn
hafa	sng
kynnst	sþmhen
fólki	nheþ
frá	af
ýmsum	fohfþ
löndum	nhfþ
og	c
heyrt	sþghen
þeirra	fphfe
sögur	nvfo
,	pk
sér	sfg3en
maður	nken
það	fpheo
alltaf	aa
betur	aam
og	c
betur	aam
hvað	fshen
Íslendingar	nkfn-s
hafa	sfg3fn
það	fpheo
í	af
rauninni	nveþg
gott	lheosf
.	pl

Ferskt	lhensf
hráefni	nhen
af	af
markaðnum	nkeþg
-	pa
Hvernig	aa
myndirðu	svg2eþ
lýsa	sng
bænum	nkeþg
og	c
veitingastaðnum	nkeþg
þínum	fekeþ
?	pl

Deia	n----s
er	sfg3en
í	af
um	aa
hálftíma	nkee
akstursfjarlægð	nveþ
frá	af
Palma	n----s
,	pk
höfuðstað	nkeþ
Mallorka	n----s
,	pk
og	c
þar	aa
hef	sfg1en
ég	fp1en
einnig	aa
búsetu	nveo
ásamt	af
um	aa
fimm	to
hundruð	tfkfþ
öðrum	fokfþ
íbúum	nkfþ
.	pl

Deia	n----s
er	sfg3en
mjög	aa
fallegur	lkensf
og	c
rólegur	lkensf
bær	nken
,	pk
sem	ct
gott	lhensf
er	sfg3en
að	cn
búa	sng
í	aa
og	c
á	sfg3en
bærinn	nkeng
sér	fpkeþ
mikla	lveosf
menningarsögu	nveo
.	pl

Hér	aa
er	sfg3en
mjög	aa
öruggt	lhensf
að	cn
búa	sng
,	pk
líkt	aa
og	c
í	af
sveitinni	nveþg
í	af
gamla	lkfosf
daga	nkfo
,	pk
því	fpheþ
það	fphen
heyrir	sfg3en
til	af
undantekninga	nvfe
að	c
íbúarnir	nkfng
læsi	svg3fn
húsum	nhfþ
sínum	fehfþ
eða	c
taki	svg3en
bíllyklana	nkfog
úr	af
bílunum	nkfþg
.	pl

Sjálfur	fbken
veitingastaðurinn	nkeng
er	sfg3en
fusion	e
mallorkískur	lkensf
með	af
Miðjarðarhafsblæ	nkeþ-s
og	c
er	sfg3en
andrúmsloftið	nheng
rómantískt	lhensf
og	c
rólegt	lhensf
.	pl

Staðurinn	nkeng
tekur	sfg3en
95	ta
manns	nkee
í	af
sæti	nhfo
og	c
býður	sfg3en
upp	aa
á	af
allt	foheo
það	faheo
ferskasta	lheove
af	af
markaðnum	nkeþg
hverju	foheþ
sinni	nheþ
enda	c
er	sfg3en
allt	fohen
hráefni	nhen
,	pk
hvort	c
sem	c
það	fphen
er	sfg3en
fiskur	nken
,	pk
kjöt	nhen
eða	c
grænmeti	nhen
,	pk
sérvalið	lhensf
fyrir	af
staðinn	nkeog
á	af
hverjum	fokeþ
degi	nkeþ
auk	af
þess	fphee
sem	c
saltfiskurinn	nkeng
er	sfg3en
íslenskur	lkensf
.	pl

Ég	fp1en
býð	sfg1en
svo	aa
upp	aa
á	af
90	ta
tegundir	nvfo
af	af
léttvínum	nhfþ
,	pk
sem	ct
koma	sfg3fn
frá	af
ýmsum	fohfþ
löndum	nhfþ
.	pl

Frægt	lhensf
fólk	nhen
í	af
nágrenninu	nheþg
-	pa
Hverjir	fskfn
eru	sfg3fn
þínir	fekfn
helstu	lkfnve
viðskiptavinir	nkfn
?	pl

Helstu	lkfnve
viðskiptavinirnir	nkfng
eru	sfg3fn
Spánverjar	nkfn-s
,	pk
Þjóðverjar	nkfn-s
,	pk
Englendingar	nkfn-s
og	c
Norðurlandabúar	nkfn-s
sem	ct
sækjast	sfm3fn
eftir	af
mat	nkeþ
og	c
þjónustu	nveþ
í	af
háum	lkeþsf
gæðaflokki	nkeþ
,	pk
svarar	sfg3en
Ragnhildur	nven-s
og	c
bætir	sfg3en
við	aa
að	c
margir	lkfnsf
úr	af
heimi	nkeþ
fræga	lheevf
og	c
fína	lheevf
fólksins	nheeg
eigi	svg3fn
hús	nhfo
í	af
Deia	n----s
eða	c
nánasta	lheþve
nágrenni	nheþ
.	pl

Nefna	sng
má	sfg3en
leikarahjónin	nhfog
Michael	n----s
Douglas	n----s
og	c
Catherina	n----s
Zeta	n----s
Jones	n----s
,	pk
Corrs-systur	nvfo-s
,	pk
Michael	n----s
Bolingbroke	n----s
,	pk
aðstoðarforstjóra	nkeo
Cirque	n----s
du	e
soleil	e
,	pk
börn	nhfo
skáldsins	nheeg
Roberts	n----s
Graves	n----s
og	c
bókaútgefandann	nkeog
og	c
uppboðshaldarann	nkeog
Simon	n----s
Finch	n----s
.	pl

-	pa
Ertu	sfg2en
farin	sþgven
að	cn
skjóta	sng
rótum	nvfþ
á	af
Mallorka	n----s
?	pl

Enginn	foken
veit	sfg3en
sína	feveo
ævina	nveog
fyrr	aam
en	c
öll	foven
er	sfg3en
því	aa
aldrei	aa
átti	sfg1eþ
ég	fp1en
von	nveo
á	af
því	fpheþ
að	c
ég	fp1en
myndi	svg1eþ
kaupa	sng
veitingahús	nheo
í	af
útlöndum	nhfþ
á	af
sama	fbheþ
ári	nheþ
og	c
ég	fp1en
útskrifaðist	svm1eþ
úr	af
lögfræðinni	nveþg
.	pl

Auðvitað	aa
saknar	sfg3en
maður	nken
fjölskyldu	nvee
og	c
vina	nkfe
,	pk
en	c
ég	fp1en
fer	sfg1en
tvisvar	aa
á	af
ári	nheþ
til	af
Íslands	nhee-s
og	c
mamma	nven
og	c
vinirnir	nkfng
hafa	sfg3fn
verið	sþghen
duglegir	lkfnsf
að	cn
koma	sng
í	af
heimsókn	nveo
til	af
mín	fp1ee
.	pl

Þegar	c
ég	fp1en
lít	sfg1en
til	af
baka	nhfe
er	sfg1en
ég	fp1en
sátt	lvensf
og	c
ánægð	lvensf
með	af
að	cn
hafa	sng
tekið	sþghen
þessa	faveo
ákvörðun	nveo
á	af
sínum	fekeþ
tíma	nkeþ
,	pk
segir	sfg3en
íslenska	lvenvf
athafnakonan	nveng
og	c
veitingahúsaeigandinn	nkeng
á	af
Mallorka	n----s
,	pk
Ragnhildur	nven-s
Sophusdóttir	nven-s
.	pl

Skoða	sng
má	sfg3en
matseðil	nkeo
og	c
panta	sng
borð	nheo
hjá	af
Ragnhildi	nveþ-s
á	af
vefslóðinni	nveþg
www.restaurantdeia.com	v
Restaurante	n----s
Deia	n----s
,	pk
C	n----s
Felipe	n----s
Bauzá	n----s
nr.	ks
1	ta
,	pk
07179	ta
Deia	n----s
,	pk
Illes	n----s
Baleares	n----s
Mallorka	n----s

Sigrún	nven-s
Edda	nven-s
ólst	sfm3eþ
upp	aa
við	af
Andrés	nkeo-s
Önd	nveo-s
á	af
dönsku	nveþ
,	pk
en	c
Jean	n----s
fékk	sfg3eþ
bakteríuna	nveog
átta	tfhfe
ára	nhfe
á	af
spítala	nkeþ
þegar	c
hann	fpken
eignaðist	sfm3eþ
safn	nheo
af	af
Vali	nkeþ-s
og	c
Svali	nkeþ-s
blöðum	nhfþ
,	pk
og	c
þegar	c
Tinni	nken-s
í	af
Tíbet	nheþ-s
bættist	sfm3eþ
í	af
safnið	nheog
var	sfg3eþ
ekki	aa
aftur	aa
snúið	sþghen
.	pl

Hann	fpken
lærði	sfg3eþ
að	cn
teikna	sng
með	af
því	fpheþ
að	cn
herma	sng
eftir	af
öðrum	fovfþ
teiknimyndafígúrum	nvfþ
og	c
segir	sfg3en
stílinn	nkeog
sinn	fekeo
svipaðan	lkeosf
þeim	fakeþ
sem	ct
tíðkist	svm3en
í	af
Belgíu	nveþ-s
.	pl

Samstarf	nhen
þeirra	fphfe
hófst	sfm3eþ
fyrst	aae
þegar	c
þau	fphfn
unnu	sfg3fþ
saman	aa
litlar	lvfosf
bækur	nvfo
um	af
Krakkana	nkfog
í	af
Kátugötu	nveþ-s
fyrir	af
Umferðarstofu	nveo-s
.	pl

Áður	aa
vissum	sfg1fþ
við	fp1fn
ekkert	foheo
af	af
hvort	fohen
öðru	foheþ
.	pl

Umferðarstofa	nven
bað	sfg3eþ
mig	fp1eo
um	af
að	cn
gera	sng
tilboð	nheo
í	af
verkið	nheog
,	pk
sem	ct
ég	fp1en
og	c
gerði	sfg1eþ
...	pa

byrjar	sfg3en
Jean	n----s
að	cn
útskýra	sng
,	pk
en	c
Sigrún	nven-s
Edda	nven-s
grípur	sfg3en
fram	aa
í	aa
fyrir	af
honum	fpkeþ
,	pk
það	fphen
var	sfg1eþ
reyndar	aa
ég	fp1en
sem	ct
valdi	sfg1eþ
Jean	n----s
með	af
mér	fp1eþ
,	pk
segir	sfg3en
hún	fpven
og	c
kemur	sfg3en
Jean	n----s
skemmtilega	aa
á	af
óvart	lheosf
,	pk
ég	fp1en
valdi	sfg1eþ
hann	fpkeo
úr	af
mörgum	lvfþsf
teikningum	nvfþ
sem	ct
ég	fp1en
skoðaði	sfg1eþ
.	pl

Og	c
samvinnan	nveng
tókst	sfm3eþ
svo	aa
vel	aa
að	c
þegar	c
Jean	n----s
,	pk
sem	ct
til	af
margra	lhfesf
ára	nhfe
hefur	sfg3en
unnið	sþghen
við	af
teiknimyndasögugerð	nveo
ásamt	af
því	fpheþ
að	cn
myndskreyta	sng
barnabækur	nvfo
,	pk
vantaði	sfg3eþ
textahöfund	nkeo
í	af
bók	nveþ
um	af
jólasveinana	nkfog
var	sfg3eþ
Sigrún	nven-s
Edda	nven-s
meira	lhenvm
en	c
til	aa
í	af
að	cn
taka	sng
verkefnið	nheog
að	af
sér	fpveþ
.	pl

Sameiginlegur	lkensf
hugarheimur	nken
|	pa

Við	fp1fn
settumst	sfm1fþ
niður	aa
og	c
unnum	sfg1fþ
mikla	lveosf
forvinnu	nveo
saman	aa
,	pk
eins	aa
og	c
á	af
karakter	nkeþ
hvers	fokee
jólasveins	nkee
fyrir	af
sig	fpkeo
,	pk
einkenni	nheþ
hans	fpkee
og	c
skapferli	nheþ
.	pl

Það	fphen
var	sfg3eþ
algjört	lhensf
samkomulag	nhen
um	aa
hvernig	aa
þeir	fpkfn
ættu	svg3fþ
að	cn
funkera	e
.	pl

Eftir	af
það	fpheo
var	sfg3eþ
svo	aa
auðvelt	lhensf
að	cn
skrifa	sng
og	c
auðvelt	lhensf
að	cn
teikna	sng
,	pk
útskýrir	sfg3en
Sigrún	nven-s
,	pk
við	fp1fn
vorum	sfg1fþ
komin	sþghfn
með	af
sameiginlegan	lkeosf
hugarheim	nkeo
.	pl

Brátt	aa
bættust	svm3fþ
svo	aa
Grýla	nven-s
,	pk
Leppalúði	nken-s
og	c
Jólakötturinn	nkengs
í	af
hópinn	nkeog
.	pl

Jean	n----s
vinnur	sfg3en
myndirnar	nvfog
þannig	aa
að	c
hann	fpken
teiknar	sfg3en
þær	fpvfo
fyrst	aae
með	af
blýanti	nkeþ
,	pk
fer	sfg3en
síðan	aa
ofan	aa
í	af
línurnar	nvfog
með	af
blekpenna	nkeþ
,	pk
skannar	sfg3en
myndirnar	nvfog
inn	aa
og	c
litar	sfg3en
þær	fpvfo
í	af
tölvunni	nveþg
.	pl

Það	fphen
er	sfg3en
einfaldasta	lvenve
leiðin	nveng
.	pl

Mig	fp1eo
langaði	sfg3eþ
að	cn
handmála	sng
myndirnar	nvfog
,	pk
en	c
þá	aa
yrði	svg3eþ
bókin	nveng
til	aa
árið	nheog
2010	ta
,	pk
svo	aa
þetta	fahen
var	sfg3eþ
mun	nkeþ
betra	lhenvm
,	pk
segir	sfg3en
Jean	n----s
brosandi	lkenof
.	pl

Sigrún	nven-s
Edda	nven-s
segist	sfm3en
skrifa	sng
handritið	nheog
með	af
svipuðum	lvfþsf
aðferðum	nvfþ
og	c
hún	fpven
notar	sfg3en
fyrir	af
sjónvarp	nheo
,	pk
og	c
það	fphen
er	sfg3en
allt	fohen
í	af
lagi	nheþ
.	pl

Ég	fp1en
skrifa	sfg1en
sögurnar	nvfog
sem	ct
þurfa	sfg3fn
að	cn
vera	sng
skemmtilegar	lvfnsf
og	c
samtölin	nhfng
eru	sfg3fn
stutt	lhfnsf
og	c
skondin	lhfnsf
.	pl

Jean	n----s
er	sfg3en
snillingur	nken
í	af
að	cn
bæta	sng
húmornum	nkeþg
í	af
sögurnar	nvfog
með	af
útfærslum	nvfþ
sínum	fevfþ
á	af
aðstæðum	nvfþ
.	pl

Þetta	fahen
er	sfg3en
allt	fohen
annað	fohen
en	c
að	cn
skrifa	sng
bækur	nvfo
.	pl

Þar	aa
þarf	sfg3en
að	cn
búa	sng
til	aa
hugarheim	nkeo
í	af
orðum	nhfþ
,	pk
en	c
hér	aa
sér	sfg3en
Jean	n----s
um	af
það	fpheo
.	pl

Bókin	nveng
nefnist	sfm3en
Rakkarapakk	nhen-s
,	pk
en	c
vantar	sfg3en
enn	aa
undirtitilinn	nkeog
.	pl

Hún	fpven
er	sfg3en
samansett	lvensf
úr	af
mörgum	lvfþsf
litlum	lvfþsf
skemmtisögum	nvfþ
um	af
hvern	fokeo
og	c
einn	fokeo
jólasvein	nkeo
.	pl

Sagan	nveng
hefst	sfm3en
11	ta
desember	nkeo
þegar	c
sveinarnir	nkfng
leggja	sfg3fn
af	af
stað	nkeþ
til	af
byggða	nvfe
og	c
endar	sfg3en
á	af
aðfangadegi	nkeþ
.	pl

Hver	foken
jólasveinn	nken
verður	sfg3en
tekinn	sþgken
fyrir	aa
í	af
réttri	lveþsf
röð	nveþ
,	pk
en	c
svo	aa
bætast	sfm3fn
við	aa
hliðarsögur	nvfn
úr	af
hversdagslífinu	nheþg
og	c
Grýla	nven-s
kemur	sfg3en
mikið	aa
við	af
sögu	nveo
.	pl

Þetta	fahen
verður	sfg3en
svolítil	lvensf
fjölskyldusaga	nven
um	af
heimilislífið	nheog
á	af
fjöllum	nhfþ
,	pk
segir	sfg3en
Sigrún	nven-s
Edda	nven-s
.	pl

Jólasveinarnir	nkfng
bjóða	sfg3fn
upp	aa
á	af
endalausa	lkfosf
möguleika	nkfo
og	c
við	fp1fn
ætlum	sfg1fn
okkur	fp1fþ
að	cn
kanna	sng
þá	fpkfo
nánar	aam
í	af
næstu	lvfþve
bókum	nvfþ
,	pk
segir	sfg3en
Jean	n----s
.	pl

Það	fphen
er	sfg3en
gaman	nhen
að	cn
taka	sng
jólasvein	nkeo
og	c
skoða	sng
hans	fpkee
vinkil	nkeo
og	c
hvernig	aa
hann	fpken
funkerar	e
í	af
nútímaþjóðfélagi	nheþ
með	af
alla	foveo
sína	feveo
forneskju	nveo
þegar	c
hann	fpken
reynir	sfg3en
að	cn
aðlagast	snm
,	pk
segir	sfg3en
Sigrún	nven-s
Edda	nven-s
.	pl

Eru	sfg3fn
þetta	fahen
hreinræktaðir	lkfnsf
íslenskir	lkfnsf
jólasveinar	nkfn
?	pl

Já	au
,	pk
þeir	fpkfn
eru	sfg3fn
séríslenskir	lkfnsf
,	pk
húmorískir	lkfnsf
og	c
góðlátlegir	lkfnsf
prakkarar	nkfn
,	pk
aðallega	aa
í	af
því	fpheþ
að	cn
reyna	sng
að	cn
finna	sng
sér	fpkeþ
æti	nheo
.	pl

Við	fp1fn
blöndum	sfg1fn
ekki	aa
bandaríska	lkeþvf
jólasveininum	nkeþg
í	af
þetta	faheo
.	pl

Þeir	fpkfn
furða	sfg3fn
sig	fpkfo
á	af
skóm	nkfþ
í	af
gluggum	nkfþ
,	pk
og	c
ef	c
þeir	fpkfn
gefa	sfg3fn
í	af
skóinn	nkeog
þá	aa
er	sfg3en
það	fphen
prakkarastrik	nhen
.	pl

Ef	c
þeir	fpkfn
fylgja	sfg3fn
siðum	nkfþ
frá	af
Ameríku	nveþ-s
þá	aa
er	sfg3en
það	fphen
af	af
því	fpheþ
að	c
það	fphen
er	sfg3en
í	af
tísku	nveþ
,	pk
segir	sfg3en
Sigrún	nven-s
Edda	nven-s
.	pl

Margir	lkfnsf
íslenskir	lkfnsf
teiknarar	nkfn
hafa	sfg3fn
teiknað	sþghen
jólasveinana	nkfog
í	af
barnabókum	nvfþ
og	c
víðar	aam
,	pk
en	c
aldrei	aa
farið	sþghen
dýpra	aam
með	af
persónurnar	nvfog
.	pl

Það	fphen
hefur	sfg3en
verið	sþghen
mjög	aa
gaman	nhen
að	cn
einblína	sng
á	af
hvern	fokeo
og	c
einn	fokeo
og	c
gefa	sng
honum	fpkeþ
karakter	nkeo
.	pl

er	sfg3en
Grýla	nven-s
?	pl

Grýla	nven
er	sfg3en
bara	aa
nafn	nhen
,	pk
en	c
hvernig	aa
er	sfg3en
hún	fpven
innst	aae
inni	aa
í	af
hjartanu	nheþg
?	pl

spyr	sfg3en
Jean	n----s
.	pl

Grýla	nven
í	af
megrun	nveþ
og	c
nútímahjónabandi	nheþ

Ég	fp1en
nýti	sfg1en
mér	fp1eþ
leiklistarbakgrunninn	nkeog
þegar	c
ég	fp1en
skrifa	sfg1en
þessar	favfo
persónur	nvfo
.	pl

Ég	fp1en
byrja	sfg1en
á	af
að	cn
safna	sng
þeim	favfþ
upplýsingum	nvfþ
sem	ct
til	aa
eru	sfg3fn
um	af
þær	fpvfo
,	pk
eins	aa
og	c
t.d	ks
Grýlu	nveo-s
sem	ct
allir	fokfn
eru	sfg3fn
sammála	lkfnof
um	af
að	c
sé	svg3en
alger	lvensf
pest	nven
með	af
hófa	nkfo
og	c
hala	nkeo
og	c
éti	svg3en
börn	nhfo
.	pl

Í	af
framhaldi	nheþ
af	af
því	fpheþ
er	sfg3en
gaman	nhen
að	cn
gera	sng
hana	fpveo
mennska	lveosf
með	af
öllum	fokfþ
sínum	fekfþ
veikleikum	nkfþ
.	pl

Hvað	fsheo
þráir	sfg3en
hún	fpven
?	pl

Líður	sfg3en
henni	fpveþ
t.d.	ks
vel	aa
með	af
útlitið	nheog
?	pl

Okkar	fp1fe
Grýla	nven-s
er	sfg3en
í	af
megrun	nveþ
,	pk
hún	fpven
verður	sfg3en
að	cn
ganga	sng
framhjá	af
barnaheimilum	nhfþ
án	af
þess	fphee
að	cn
ráðast	snm
þar	aa
inn	aa
,	pk
segir	sfg3en
Sigrún	nven-s
og	c
skellihlær	sfg3en
.	pl

Þannig	aa
að	c
íslenskir	lkfnsf
lesendur	nkfn
eiga	sfg3fn
eftir	aa
að	cn
þekkja	sng
sjálfa	fpkfo
sig	fpkfo
í	af
þessum	fakfþ
karakterum	nkfþ
?	pl

Já	au
,	pk
segir	sfg3en
Jean	n----s
hiklaust	aa
,	pk
Grýla	nven-s
og	c
Leppalúði	nken-s
eru	sfg3fn
í	af
nútíma	nkee
hjónabandi	nheþ
.	pl

Grýla	nven
ræður	sfg3en
öllu	foheþ
og	c
aumingja	nkee
Leppalúði	nken-s
er	sfg3en
undirbeygður	lkensf
eins	aa
og	c
aðrir	fokfn
karlmenn	nkfn
í	af
dag	nkeo
.	pl

Stefnið	sfg2fn
þið	fp2fn
að	af
útrás	nveþ
íslenska	lkeevf
jólasveinsins	nkeeg
?	pl

Það	fpheo
þekkir	sfg3en
enginn	foken
jólasveinana	nkfog
nema	c
áhugamenn	nkfn
um	af
Íslandi	x
.	pl

En	c
í	af
upphafi	nheþ
bókarinnar	nveeg
verða	sfg3fn
kynningarsíður	nvfn
þar	aa
sem	c
hver	foken
jólasveinn	nken
er	sfg3en
kynntur	sþgken
,	pk
líkt	aa
og	c
í	af
bókunum	nvfþg
um	af
Ástrík	nkeo-s
,	pk
svo	aa
allir	fokfn
ættu	svg3fþ
að	cn
geta	sng
skilið	sþghen
bókina	nveog
,	pk
segir	sfg3en
Jean	n----s
.	pl

Öll	foven
þeirra	fpkfe
baksaga	nven
verður	sfg3en
kynnt	sþgven
mjög	aa
vel	aa
í	af
fyrstu	lveþve
bókinni	nveþg
.	pl

Þetta	fahen
er	sfg3en
séríslenskt	lhensf
efni	nhen
en	c
samt	aa
skemmtiefni	nhen
sem	ct
upplagt	lhensf
gæti	svg3eþ
verið	sþghen
að	cn
gefa	sng
t.d.	ks
viðskiptavinum	nkfþ
stórfyrirtækja	nhfe
erlendis	aa
.	pl

Kannski	aa
að	c
við	fp1fn
getum	svg1fn
komið	sþghen
íslenska	lkeþvf
jólasveininum	nkeþg
smátt	aa
og	c
smátt	aa
út	aa
fyrir	af
landsteinana	nkfog
.	pl

Við	fp1fn
erum	sfg1fn
að	cn
taka	sng
á	af
íslenskum	lkeþsf
þjóðararfi	nkeþ
,	pk
en	c
ég	fp1en
efast	sfm1en
ekki	aa
um	aa
að	c
aðrir	fokfn
geti	svg3fn
haft	sþghen
gaman	nheo
af	aa
,	pk
segir	sfg3en
Sigrún	nven-s
Edda	nven-s
,	pk
en	c
annars	aa
erum	sfg1fn
við	fp1fn
bara	aa
að	af
þessu	faheþ
af	af
því	fpheþ
að	c
það	fphen
er	sfg3en
svo	aa
gaman	nhen
,	pk
eru	sfg3fn
þau	fphfn
Sigrún	nven-s
Edda	nven-s
og	c
Jean	n----s
sammála	lhfnof
um	aa
.	pl

|	pa
hilo@mbl.is	v

Árið	nheng
1918	ta
var	sfg3eþ
sögulegt	lhensf
fyrir	af
þær	favfo
sakir	nvfo
að	c
þá	aa
gaus	sfg3eþ
í	af
Kötlu	nveþ-s
,	pk
spánska	lvenvf
veikin	nveng
geisaði	sfg3eþ
og	c
frostaveturinn	nkeng
mikli	lkenvf
markaði	sfg3eþ
spor	nhfo
sín	fehfo
í	af
íslenskt	lheosf
samfélag	nheo
.	pl

Á	af
því	faheþ
ári	nheþ
fæddust	sfm3fþ
ennfremur	aa
á	af
Akranesi	nheþ-s
stöllurnar	nvfng
Sigríður	nven-s
Ármannsdóttir	nven-s
í	af
júlí	nkeþ
og	c
Margrét	nven-s
Níelsdóttir	nven-s
í	af
september	nkeþ
.	pl

Þeirra	fpvfe
saga	nven
er	sfg3en
lengri	lvenvm
en	c
allra	fokfe
hinna	fakfe
stóratburðanna	nkfeg
-	pa
þær	fpvfn
ólust	sfm3fþ
upp	aa
í	af
sama	fbheþ
húsi	nheþ
,	pk
hafa	sfg3fn
ræktað	sþghen
vináttu	nveo
sína	feveo
í	af
átta	tfkfo
áratugi	nkfo
og	c
dvelja	sfg3fn
nú	aa
á	af
sömu	fbveþ
hæð	nveþ
Dvalarheimilisins	nheegs
Höfða	nkee-s
í	af
heimabænum	nkeþg
.	pl

Örlögin	nhfng
hafa	sfg3fn
hagað	sþghen
því	fpheþ
þannig	aa
að	c
þær	fpvfn
hafa	sfg3fn
varla	aa
farið	sþghen
úr	af
seilingarfjarlægð	nveþ
hvor	foven
frá	af
annarri	foveþ
alla	foveo
sína	feveo
tíð	nveo
,	pk
þótt	c
hvor	foven
hafi	svg3en
lifað	sþghen
sínu	feheþ
lífi	nheþ
að	af
fullkomnu	lheþsf
leyti	nheþ
.	pl

Árið	nheog
sem	ct
ég	fp1en
fæddist	sfm1eþ
keyptu	sfg3fþ
pabbi	nken
minn	feken
og	c
pabbi	nken
hennar	fpvee
Möggu	nvee-s
saman	aa
húsið	nheog
Hofteig	nkeo-s
og	c
fjölskyldurnar	nvfng
bjuggu	sfg3fþ
þar	aa
báðar	fovfn
til	af
1930	ta
,	pk
segir	sfg3en
Sigríður	nven-s
.	pl

Þeir	fpkfn
voru	sfg3fþ
svo	aa
miklir	lkfnsf
vinir	nkfn
.	pl

Húsinu	nheþg
var	sfg3eþ
skipt	sþghen
í	af
tvennt	lheosf
og	c
í	af
kjallaranum	nkeþg
voru	sfg3fþ
eldhúsin	nhfng

Samgangur	nken
var	sfg3eþ
mikill	lkensf
,	pk
Ármannsbörn	nhfn-s
voru	sfg3fþ
níu	tfhfn
og	c
Níelsarbörn	nhfn-s
þrjú	tfhfn
.	pl

Þetta	fahen
var	sfg3eþ
allt	fohen
eins	aa
og	c
einn	tfken
systkinahópur	nken
.	pl

Og	c
mesta	lhenve
sportið	nheng
var	sfg3eþ
að	cn
fá	sng
að	cn
sofa	sng
í	af
kojunum	nvfþg
hjá	af
þeim	fphfþ
hinum	fahfþ
,	pk
þótt	c
það	fphen
væri	svg3eþ
þröngt	lhensf
,	pk
segir	sfg3en
Margrét	nven-s
.	pl

Þær	favfn
vinkonur	nvfn
eru	sfg3fn
mættar	sþgvfn
til	af
skrafs	nhee
í	af
rúmgóðu	lheþsf
herbergi	nheþ
Margrétar	nvee-s
,	pk
ernar	lvfnsf
og	c
til	af
hafðar	lvfnsf
á	af
87	ta
aldursári	nheþ
.	pl

Ég	fp1en
er	sfg1en
með	af
stærra	lheovm
herbergi	nheo
,	pk
loksins	aa
er	sfg3en
mér	fp1eþ
sem	ct
piparmey	nveþ
sýnd	sþgven
dálítil	lvensf
virðing	nven
,	pk
tilkynnir	sfg3en
Margrét	nven-s
og	c
hlær	sfg3en
dátt	aa
.	pl

Hún	fpven
er	sfg3en
ógift	lvensf
og	c
barnlaus	lvensf
,	pk
en	c
Sigríður	nven-s
var	sfg3eþ
gift	lvensf
Elíasi	nkeþ-s
Guðjónssyni	nkeþ-s
kaupmanni	nkeþ
og	c
á	sfg3en
tvö	tfhfo
börn	nhfo
,	pk
fjögur	tfhfo
barnabörn	nhfo
.	pl

Hún	fpven
hefur	sfg3en
nú	aa
verið	sþghen
ekkja	nven
í	af
hálfan	lkeosf
annan	lkeosf
áratug	nkeo
.	pl

Og	c
báðar	fovfn
una	sfg3fn
sér	fpvfþ
vel	aa
á	af
dvalarheimilinu	nheþg
:	pa

Við	fp1fn
höfum	sfg1fn
það	fpheo
svo	aa
gott	lheosf
hér	aa
að	c
við	fp1fn
yngjumst	sfm1fn
alveg	aa
upp	aa
.	pl

Og	c
þær	fpvfn
minnast	sfm3fn
gömlu	lkfevf
daganna	nkfeg
með	af
sátt	nveþ
og	c
gleði	nveþ
.	pl

Tvær	tfvfn
fjölskyldur	nvfn
,	pk
ein	tfven
kýr	nven
|	pa

Ef	c
okkur	fp1fþ
krökkunum	nkfþg
kom	sfg3eþ
ekki	aa
saman	aa
,	pk
þá	aa
þýddi	sfg3eþ
ekkert	fohen
að	cn
klaga	sng
.	pl

Það	fphen
voru	sfg3fþ
óskrifuð	lhfnsf
lög	nhfn
,	pk
útskýrir	sfg3en
Margrét	nven-s
.	pl

Þeir	fpkfn
gátu	sfg3fþ
verið	sþghen
strangir	lkfnsf
,	pk
í	af
það	faheo
minnsta	lheove
pabbi	nken
minn	feken
,	pk
en	c
svo	aa
huggaði	sfg3eþ
hann	fpken
þegar	c
þurfti	sfg3eþ
.	pl

Pabbi	nken
hennar	fpvee
Siggu	nvee-s
var	sfg3eþ
meira	aam
í	aa
burtu	aa
,	pk
hann	fpken
var	sfg3eþ
svo	aa
mikið	aa
á	af
sjónum	nkeþg
.	pl

Já	au
,	pk
við	fp1fn
fengum	sfg1fþ
ekki	aa
að	cn
komast	snm
upp	aa
með	af
neina	foveo
vitleysu	nveo
,	pk
