-	pa
komið	sþmhen
fyri	aa
,	pk
at	c
sjúkrabilur	nken
hjá	af
Klaksvíkar	nvee-s	UNKNOWN
sjúkrahúsi	nheþ
er	svg3en
steðgaður	sþmken	UNKNOWN
upp	aa
,	pk
meðan	c
hann	fpken
hevur	svg3en	UNKNOWN
verið	sþmhen
í	af
tænastu	nveþ
.	pl

Men	c
hetta	fahen
var	svg3eþ
bara	aa
ein	fbken
partur	nken
-	pa
og	c
kanska	aa
tann	faken
minni	lkenvm
parturin	nkeng
-	pa
av	af
orsøkini	nveþg
til	af
,	pk
at	c
teir	fpkfn
umborð	aa
á	af
Hvessingi	nkeþ
tóktust	svm3fþ	UNKNOWN
so	aa
ógvuliga	aa
fegnir	sþgkfn
um	af
sigurin	nkeog
á	af
norðoyastevnu	nveþ	UNKNOWN
.	pl

Hvessingur	nken
fekk	svg3eþ	UNKNOWN
boyuna	nveog
á	af
túsund	tf
metra	nkfe
málinum	nheþg
um	af
bakborð	nheo
.	pl

Væleydnað	lhensf
tiltak	nhen
í	af
Kagganum	nkeþg

Bólkurin	nkeng
var	svg3eþ
mannaður	sþmken
við	af
teimum	fakfþ
báðum	fbkfþ	UNKNOWN
Jóan	nken-s
Magnus	nken-s	UNKNOWN
Johannesen	n----s	UNKNOWN
og	c
Johan	nken-s	UNKNOWN
Ziskason	nken-s	UNKNOWN
.	pl

Diatribes	e	UNKNOWN
er	svg3en
uttan	af
iva	nkeo
ein	fbken
bólkur	nken
á	af
veg	nkeþ
fram	aa
í	af
føroyska	lkeþvf
tónleikaheiminum	nkeþg	UNKNOWN
,	pk
og	c
tað	fphen
verður	svg3en
spennandi	lo
at	cn
fylgja	sng
gongdini	nveþg
hjá	af
teimum	fpkfþ
.	pl

Finaluna	nveog
vunnu	svg3fþ
Heðin	nken-s	UNKNOWN
og	c
Eyðvør	nven-s	UNKNOWN
,	pk
og	c
fyri	af
tað	fpheo
fingu	svg3fþ	UNKNOWN
tey	fphfn
hvør	fbken
sína	fpvee	UNKNOWN
fløsku	nveo
av	af
brúsandi	slg
løgi	nkeþ
.	pl

Hóast	c
tey	fahfn
flestu	lhfnve	UNKNOWN
hildu	svg3fþ
til	aa
í	af
kjallaranum	nkeþg
,	pk
har	aa
livandi	slg
tónleikurin	nkeng
var	svg3eþ
,	pk
so	aa
gjørdu	svg3fþ
tær	favfn
ymsu	lvfnvf	UNKNOWN
kappingarnar	nvfng
sítt	fehee
til	aa
,	pk
at	c
fólkið	nheng
eisini	aa
spjaddist	svm3eþ
eitt	fbheo
sindur	nheo
runt	aa
í	af
húsinum	nheþg
.	pl

Har	aa
umrøddu	svg3fþ	UNKNOWN
tey	fphfn
,	pk
hvussu	aa
spurningurin	nkeng
skal	svg3en
avgreiðast	snm
,	pk
nú	aa
einir	to
200	ta	UNKNOWN
fleiri	lkfnsm	UNKNOWN
næmingar	nkfn
enn	aa
mett	sþmhen
eru	svg3fn	UNKNOWN
í	af
fólkaskúlanum	nkeþg
komandi	slg
skúlaár	nheo	UNKNOWN
.	pl

Eisini	aa
eru	svg3fn	UNKNOWN
10.	ta	UNKNOWN
flokkarnir	nkfng
,	pk
ið	ct
fara	svg3fn
út	aa
nú	aa
minni	lkfnsm
,	pk
enn	aa
flokkarnir	nkfng
,	pk
ið	ct
koma	svg3fn
inn	aa
.	pl

Bjarni	nken-s	UNKNOWN
Djurholm	n----s	UNKNOWN
vísir	svg3en
á	af
,	pk
at	c
tað	fphen
er	svg3en
óheppið	lhensf
,	pk
at	c
málið	nheng
ikki	aa
kemur	svg3en
fram	aa
fyrr	aam
enn	aa
nú	aa
,	pk
løgtingið	nheng
er	svg3en
farið	sþmhen
til	af
hús	nhee
.	pl

Nú	aa
siti	svg1en
eg	fp1en
við	af
málinum	nheþg
og	c
Bjarni	nken-s	UNKNOWN
Djurholm	n----s	UNKNOWN
sigur	svg3en
,	pk
at	c
vit	fp1fn
skulu	svg1fn	UNKNOWN
spara	sng
og	cn
skerja	sng
.	pl

Bjarni	nken-s	UNKNOWN
Djurholm	n----s	UNKNOWN
,	pk
formaður	nken
í	af
fíggjarnevndini	nveþg
sigur	svg3en
,	pk
at	c
nevndin	nveng
á	af
fundi	nkeþ
avgreiddi	svg3eþ
málið	nheog
um	af
neyðhjálp	nveo
uppá	af
2,5	ta	UNKNOWN
milliónir	nvfo
til	af
Montenegro	nheo-s	UNKNOWN
,	pk
Albania	nheo-s	UNKNOWN
og	c
Makedonia	nheo-s	UNKNOWN
,	pk
tí	c
hetta	fahen
mál	nhen
var	svg3eþ
mett	sþmhen
at	cn
hava	sng
skund	nheo
og	c
vera	sng
beinleiðis	aa
framhald	nheo
av	af
tingviðgerð	nveþ	UNKNOWN
fyri	af
einum	fbkeþ
mánað	nkeþ
síðani	aa
.	pl

Málið	nheng
er	svg3en
súltað	sþmhen

Hesum	faheþ
er	svg3en
eg	fp1en
ímóti	aa
og	c
skulu	svg3fn	UNKNOWN
landstýrismenn	nkfn	UNKNOWN
hava	sng
møguleika	nkeo
at	cn
fáa	sng
hesi	fahfo
málini	nhfog
ígjøgnum	aa
,	pk
so	aa
skulu	svg3fn	UNKNOWN
teir	fpkfn
vísa	sng
sparingar	nvfo
aðrastaðir	aa	UNKNOWN
,	pk
sigur	svg3en
Bjarni	nken-s	UNKNOWN
Djurholm	n----s	UNKNOWN
.	pl

-	pa
Eftir	af
mínari	lveþsf	UNKNOWN
sannføring	nveþ
,	pk
so	aa
er	svg3en
hetta	fahen
í	af
andsøgn	nveþ
við	af
tað	fpheo
,	pk
ið	ct
vit	fp1fn
hava	svg1fn
sett	sþmhen
okkum	fp1fþ
sum	c
mál	nheo
,	pk
nevniliga	aa
at	cn
gerast	snm	UNKNOWN
sjálvberandi	lo
land	nhen
.	pl

Hetta	fahen
er	svg3en
ein	fbken
skannari	nken
,	pk
sum	ct
hevur	svg3en	UNKNOWN
staðið	sþmhen
ovaliga	aa	UNKNOWN
á	af
ynskilistanum	nkeþg	UNKNOWN
á	af
Landssjúkrahúsinum	nheþg
í	af
fleiri	lhfosm	UNKNOWN
ár	nhfo
.	pl

-	pa
Tann	faken
stóri	lkenvf	UNKNOWN
trupulleikin	nkeng
hjá	af
okkum	fp1fþ
hevur	svg3en	UNKNOWN
verið	sþmhen
,	pk
at	c
vit	fp1fn
hava	svg1fn
heilt	aa
einfalt	aa
ikki	aa
havt	sþmhen	UNKNOWN
pláss	nheo
fyri	af
skannaranum	nkeþg
.	pl

-	pa
Tilboðini	nvfng
uppá	af
arbeiðið	nheog
koma	svg3fn
inn	aa
nú	aa
í	af
juni	nkeo
mánaða	nkeo
.	pl

Hetta	fahen
er	svg3en
so	aa
eyðsæð	lhensf
,	pk
at	c
møgleikin	nkeng	UNKNOWN
at	cn
seta	sng
hann	fpkeo
onkra	fbheo
aðrastaðni	aa
,	pk
hevur	svg3en	UNKNOWN
ikki	aa
verið	sþmhen
nevndur	sþmken	UNKNOWN
,	pk
sigur	svg3en
Anders	nken-s	UNKNOWN
Harboe	n----s	UNKNOWN
Ree	n----s	UNKNOWN
.	pl

-	pa
Hetta	fahen
er	svg3en
eitt	fbhen
tól	nhen
,	pk
sum	ct
læknarnir	nkfng
á	af
øllum	fbvfþ
deildum	nvfþ
hava	svg3fn
tráðað	sþmhen
eftir	aa
í	af
mong	lhfosf
ár	nhfo
.	pl

Skrivstovustjórin	nkeng
í	af
DanAdopt	e	UNKNOWN
,	pk
Ole	nken-s	UNKNOWN
Bergman	n----s	UNKNOWN
,	pk
er	svg3en
í	af
hesum	fakfþ
døgum	nkfþ
á	af
kunningarvitjan	nveo	UNKNOWN
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Í	af
1991	ta	UNKNOWN
vóru	svg3fþ	UNKNOWN
13	ta	UNKNOWN
loyvi	nhfn
givin	sþghfn
,	pk
í	af
1992	to	UNKNOWN
eitt	tfhen
,	pk
í	af
1993	to	UNKNOWN
trý	tfhfn	UNKNOWN
,	pk
í	af
1994	to	UNKNOWN
fýra	tf
,	pk
í	af
1995	to	UNKNOWN
fimm	tf
,	pk
í	af
1996	to	UNKNOWN
átta	tf
og	c
í	af
1997	to	UNKNOWN
seks	tf
.	pl

JaiSita	e	UNKNOWN
Panigrahi	e	UNKNOWN
,	pk
ið	ct
DanAdopt	e	UNKNOWN
hevur	svg3en	UNKNOWN
neyvt	sþmhen
samstarv	nheo
við	aa
,	pk
á	af
vitjan	nveo
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

-	pa
Tá	c
tyrluflúgvingin	nveng	UNKNOWN
seinast	aae
var	svg3eþ
»	pg	UNKNOWN
uppi	aa
og	c
vendi	svg3eþ
«	pg	UNKNOWN
var	svg3eþ
avgjørt	sþmhen
,	pk
at	c
tað	fphen
skuldi	svg3eþ	UNKNOWN
gerast	snm	UNKNOWN
ein	fbven
raðfesting	nven
.	pl

Hinvegin	aa
er	svg3en
marknaðurin	nkeng
fyri	af
flogskiparum	nkfþ
stórur	lkensf
,	pk
so	aa
tað	fphen
er	svg3en
væl	aa
skilligt	lhensf
,	pk
hóast	c
tað	fphen
setur	svg3en
verjuna	nveog
og	c
bjargingartænastuna	nveog
í	af
eina	fbveo
knípu	nveo
,	pk
sigur	svg3en
Eli	nken-s
.	pl

Í	af
Føroyum	nvfþ-s	UNKNOWN
hava	svg1fn
vit	fp1fn
sum	c
kunnugt	lhensf
eina	tfveo
tyrlu	nveo
umframt	af
sjóverjutyrluna	nveog	UNKNOWN
.	pl

Atlantsflog	nhen	UNKNOWN
hevur	svg3en	UNKNOWN
ikki	aa
fingið	sþmhen	UNKNOWN
nakað	fbheo
endaligt	lheosf
svar	nheo
frá	af
teimum	fakfþ
framleiðarum	nkfþ
teir	fpkfn
hava	svg3fn
havt	sþmhen	UNKNOWN
fundir	nkfo
við	aa
,	pk
men	c
eftir	af
tí	fpheþ
,	pk
sum	ct
skilst	svm3en	UNKNOWN
,	pk
so	aa
fer	svg3en
tað	fphen
ikki	aa
at	cn
ganga	sng
so	aa
drúgv	lvensf
tíð	nven
,	pk
áðrenn	c
svarini	nhfng
koma	svg3fn
.	pl

Alt	fbhen
hetta	fahen
skal	svg3en
fáast	snm	UNKNOWN
upp	aa
á	af
pláss	nheo
,	pk
áðrenn	c
farið	sþmhen
verður	svg3en
undir	af
nakað	fbheo
nýtt	lheosf
.	pl

Bókin	nveng
er	svg3en
ein	tfven
av	af
fýra	tf
,	pk
sum	ct
er	svg3en
ætlað	sþmven
lærugreinini	nveþg
virkisbúskapur	nken
,	pk
og	c
innihaldið	nheng
í	af
hesi	faveþ
bókini	nveþg
er	svg3en
í	af
høvuðsheitum	nhfþ
roknskapur	nken
í	af
handilsvirkjum	nhfþ
og	c
framleiðsluvirkjum	nhfþ	UNKNOWN
,	pk
roknskapargreining	nven	UNKNOWN
og	c
fíggjarætlan	nven
.	pl

Men	c
vøksturin	nkeng
er	svg3en
stórur	lkensf
og	c
nýtslan	nveng
veksur	svg3en	UNKNOWN
áleið	aa	UNKNOWN
við	af
somu	foveþ	UNKNOWN
ferð	nveþ
sum	c
lønarinntøkurnar	nvfng
í	af
samfelagnum	nheþg
,	pk
ella	c
sum	c
tøka	lvenvf
tjóðarinntøkan	nveng
og	c
sum	c
lønarvøksturin	nkeng	UNKNOWN
er	svg3en
.	pl

Sigurð	nken-s	UNKNOWN
Poulsen	n----s	UNKNOWN
sigur	svg3en
tí	aa
,	pk
at	c
hann	fpken
hevur	svg3en	UNKNOWN
leingi	aa
hildið	sþmhen
,	pk
at	c
tað	fphen
er	svg3en
neyðugt	lhensf
at	cn
seta	sng
onkur	fbhfo
tiltøk	nhfo
í	af
verk	nheo
fyri	aa
at	cn
tálma	sng
gongdini	nveþg
.	pl

-	pa
Tað	fphen
er	svg3en
uttan	af
iva	nkeo
rætt	lhensf
,	pk
at	c
tað	fphen
er	svg3en
ógvuliga	aa
ymiskt	lhensf
,	pk
hvussu	aa
teir	fahfn
ymsu	lkfnvf	UNKNOWN
partarnir	nkfng
í	af
Føroyum	nvfþ-s	UNKNOWN
eru	svg3fn	UNKNOWN
fyri	aa
.	pl

-	pa
Men	c
tað	fphen
er	svg3en
neyðugt	lhensf
at	cn
stilla	sng
búskapin	nkeog
eitt	fbheo
sindur	nheo
.	pl

Í	af
hesum	faheþ
sambandi	nheþ
var	svg3eþ
móttøka	nven
í	af
3	ta	UNKNOWN
'	pg
aranum	x	UNKNOWN
í	af
gjár	n-eþ	UNKNOWN
,	pk
har	aa
kórið	nheng
setti	svg3eþ
dám	nkeo
á	aa
.	pl

Tvey	tfhfn
ár	nhfn
eru	svg3fn	UNKNOWN
síðani	aa
,	pk
at	c
kórið	nheng
seinast	aae
gav	svg3eþ
út	aa
fløgu	nveo
,	pk
og	c
Bjarni	nken-s	UNKNOWN
sigur	svg3en
,	pk
at	c
ikki	aa
nógv	lhfnsf
nýggj	lhfnsf
kórverk	nhfn
síggja	svg3fn
dagsins	nkeeg
ljós	nheo
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Tað	fphen
má	svg3en
sigast	snm	UNKNOWN
at	cn
vera	sng
hugaligt	lhensf
,	pk
at	c
Tórshavnar	nvee-s	UNKNOWN
Manskór	nhen
er	svg3en
so	aa
virkið	sþmhen
.	pl

Seinastu	lkfnve
dagarnir	nkfng
hava	svg3fn
vit	fp1fn
fleiri	lvfosm	UNKNOWN
ferðir	nvfo
hoyrt	sþmhen
,	pk
at	c
ferðin	nveng
á	af
føroyska	lkeþvf
búskapinum	nkeþg
er	svg3en
blivin	sþmven	UNKNOWN
nakað	fbheo
nógv	lvensf
og	c
at	c
tað	fphen
er	svg3en
neyugt	lhensf	UNKNOWN
at	cn
tálma	sng
gongdini	nveþg
,	pk
so	aa
at	c
hann	fpken
ikki	aa
hitnar	svg3en
ov	aa
nógv	aa
.	pl

-	pa
So	aa
her	aa
er	svg3en
onki	aa
at	cn
taka	sng
av	aa
,	pk
heldur	svg3en
ikki	aa
til	af
uppsparing	nveo	UNKNOWN
.	pl

Ingeborg	nven-s	UNKNOWN
Vinther	n----s	UNKNOWN
heldur	svg3en
eisini	aa
,	pk
at	c
Fíggjarmálaráðharrin	nkeng
skuldi	svg3eþ	UNKNOWN
heldur	aam
eisini	aa
farið	sþmhen
at	cn
kanna	sng
prísvøksturin	nkeog	UNKNOWN
seinastu	lveove
tíðina	nveog
,	pk
síðani	aa
lønarhækkingin	nveng	UNKNOWN
kom	svg3eþ
í	af
gildi	nheo
.	pl

Ritstjórnin	nveng
vónar	svg3en
,	pk
at	c
bókin	nveng
Likestilte	e	UNKNOWN
demokratier	e	UNKNOWN
fer	svg3en
at	cn
elva	sng
til	af
orðaskifti	nheo
og	c
kjak	nheo
um	af
evnið	nheog
,	pk
og	c
at	c
hon	fpven
gagnar	svg3en
arbeiðinum	nheþg
hesum	faheþ
til	af
frama	nkee
eins	c
og	c
politikarum	nkfþ
,	pk
tænastufólki	nheþ
sum	ct
teimum	nhfþ
,	pk
ið	ct
við	af
fullum	lkeþsf
huga	nkeþ
ganga	svg3fn
inn	aa
fyri	af
javnstøðu	nveþ
.	pl

Lions	e	UNKNOWN
Club	e	UNKNOWN
setir	svg3en
skelti	nhfo
upp	aa

Ætlanin	nveng
er	svg3en
,	pk
at	c
tiltakið	nheng
skal	svg3en
fremja	sng
varðveitsluna	nveog
av	af
staðarnøvnum	nhfþ
,	pk
ið	ct
ikki	aa
vanliga	aa
verða	svg3fn
havd	sþghfn	UNKNOWN
á	af
munni	nkeþ
.	pl

Parkeringsviðurskiftini	nhfng	UNKNOWN
eru	svg3fn	UNKNOWN
vánalig	lhfnsf
við	af
húsið	nheog
,	pk
og	c
tað	fphen
ber	svg3en
ikki	aa
til	aa
at	cn
byggja	sng
upp	aa
í	af
sjálvan	fokeo
bygningin	nkeog
har	aa
á	af
staðnum	nheþg
.	pl

Fimm	tfhfn
fólk	nhfn
starvast	svm3fn	UNKNOWN
á	af
deildini	nveþg
í	af
Fuglafirði	nkeþ-s	UNKNOWN
,	pk
meðan	c
tey	fphfn
vanliga	aa
eru	svg3fn	UNKNOWN
trý	tfhfn	UNKNOWN
í	af
Gøtu	nveþ-s
.	pl

Og	c
í	af
flokkinum	nkeþg
,	pk
sum	ct
skal	svg3en
byrja	sng
upp	aa
á	af
seinna	lheovm	UNKNOWN
árið	nheog
um	c
tvær	tfvfo
vikur	nvfo
,	pk
ganga	svg3fn
4	ta	UNKNOWN
mannfólk	nhfn
og	c
20	ta	UNKNOWN
konufólk	nhen
,	pk
so	aa
mannfólkini	nhfng
koma	svg3fn
at	cn
rúgva	sng
lítið	aa
í	af
teimum	fakfþ
trimum	tfkfþ	UNKNOWN
flokkunum	nkfþg
á	af
skúlanum	nkeþg
.	pl

Í	af
fjør	n---
hevði	svg3eþ	UNKNOWN
HF	ks
-	pa
skeiðið	nheng
í	af
Klaksvík	nveþ-s	UNKNOWN
fleiri	lvfosm	UNKNOWN
enn	aa
30	ta	UNKNOWN
umsóknir	nvfo
,	pk
men	c
tá	aa
fingu	svg3fþ	UNKNOWN
tey	fphfn
ikki	aa
loyvi	nheo
at	cn
gera	sng
tveir	tfkfo
flokkar	nkfo
.	pl

Nóg	aa
mikið	aa
pláss	nhen

Hetta	fahen
noyddist	svm3eþ
ein	fbken
nipin	lkensf
ferðamaður	nken
at	cn
ásanna	sng
við	af
bergholsmunnan	nkeog
á	af
Oyrareingum	nkeþ-s	UNKNOWN
gjáramorgunin	nkeog
.	pl

Løtu	nveo
seinni	aam
dagar	svg3fn
blái	lkenvf
bussurin	nkeng
undan	aa
í	af
mótbrekkuni	nveþg
.	pl

Hann	fpken
lovaði	svg3eþ
,	pk
at	cn
royna	sng
at	cn
finna	sng
út	aa
av	aa
,	pk
hvør	fsken
orsøkin	nveng
var	svg3eþ
til	af
mistakið	nheo
.	pl

Hvørji	fbhfo
orð	nhfo
Bygdaleiðir	nvfn
fingu	svg3fþ	UNKNOWN
á	af
vegnum	nkeþg
til	af
Havnar	nvee-s
,	pk
verður	svg3en
ikki	aa
endurgivið	sþmhen
her	aa
í	af
blaðnum	nheþg

Avtala	nven
er	svg3en
fingin	sþmven	UNKNOWN
í	af
lag	nheo
við	af
Føroya	nvfe-s	UNKNOWN
Banka	nkeo
um	af
restskuldina	nveog	UNKNOWN
og	c
Suðuroyar	nvee-s	UNKNOWN
Sparikassi	nken
hevur	svg3en	UNKNOWN
latið	sþmhen
felagnum	nheþg
10.000	ta	UNKNOWN
krónur	nvfo
í	af
stuðuli	nkeþ	UNKNOWN
um	af
árið	nheog
,	pk
sum	ct
verða	svg3fn
brúktar	sþgvfn	UNKNOWN
til	af
rentur	nvfo
og	c
avdrátt	nkeo
,	pk
so	aa
skuldin	nveng
í	af
Suðuroyar	nvee-s	UNKNOWN
Sparikassa	nkeþ
er	svg3en
at	cn
kalla	sng
úti	aa
av	af
verðini	nveþg
.	pl

Ístaðin	aa
fyri	aa
at	c
kravt	sþmhen
hana	fpveo
á	af
tvang	nkeo	UNKNOWN
átti	svg3eþ	UNKNOWN
Landsstýrið	nheng
heldur	svg3en
at	cn
stuðla	sng
henni	fpveþ
við	af
eini	fbveþ
árligari	lveþsf
upphædd	nveþ
til	af
viðlíkahald	nheo
,	pk
sigur	svg3en
Magni	nken-s
Eidesgaard	n----s	UNKNOWN
.	pl

Við	af
sjógv	nkeo
á	af
bak	nheo

Ta	faveo
ferðina	nveog
løgdu	svg3fþ
49	ta	UNKNOWN
hval	nkfn
beinini	nhfog
,	pk
og	c
skinnini	nhfng
vóru	svg3fþ	UNKNOWN
406	ta	UNKNOWN
í	af
tali	nheþ
.	pl

Símun	nken-s	UNKNOWN
Joensen	n----s	UNKNOWN
,	pk
stjóri	nken
á	af
Fiskaaling	nveþ
,	pk
sigur	svg3en
,	pk
at	cn
teir	fpkfn
fyrr	aam
hava	svg3fn
havt	sþmhen	UNKNOWN
avtalur	nvfo
við	af
fleiri	lkfosm	UNKNOWN
smáar	lkfosf
bátar	nkfo
,	pk
sum	ct
so	aa
søgdu	svg3fþ
frá	af
,	pk
tá	c
teir	fpkfn
høvdu	svg3fþ
fingið	sþmhen	UNKNOWN
ein	fbkeo
stóran	lkeosf
kalva	nkeo
,	pk
sum	ct
Fiskaaling	nven
kundi	svg3eþ
brúka	sng
.	pl

Og	c
tað	fphen
er	svg3en
rættiliga	aa
umstendiligt	lhensf	UNKNOWN
.	pl

Tað	fphen
er	svg3en
ikki	aa
so	aa
,	pk
at	cn
teir	fpkfn
verða	svg3fn
avtiknir	sþgkfn
,	pk
tá	c
teir	fpkfn
hava	svg3fn
gýtt	sþmhen
.	pl

Línuskipið	nheng
Skútunes	nhen	UNKNOWN
,	pk
sum	ct
var	svg3eþ
heimahoyrandi	slg	UNKNOWN
á	af
Eiði	nheþ-s
,	pk
er	svg3en
selt	sþmhen
til	af
Fuglafjarðar	nkee-s	UNKNOWN
,	pk
og	c
eitur	svg3en
nú	aa
Fuglfirðingur	nken
.	pl

Formaðurin	nkeng
í	af
Eigarafelagnum	nheþg
,	pk
Niels	nken-s	UNKNOWN
Jákup	nken-s	UNKNOWN
Thomsen	n----s	UNKNOWN
,	pk
sigur	svg3en
við	af
Sosialin	nkeog	UNKNOWN
,	pk
at	cn
tað	fphen
var	svg3eþ
í	af
fjør	n---
,	pk
tankin	nkeng
kom	svg3eþ
fram	aa
um	aa
at	cn
leggja	sng
hesar	favfo
mátturnar	nvfog	UNKNOWN
á	af
vøllin	nkeog
.	pl

Tey	fahfn
størru	lhfnvm	UNKNOWN
,	pk
tey	fahfn
sum	c
hava	svg3fn
koyrikort	nheo
,	pk
munnu	svg3fn	UNKNOWN
eisini	aa
fara	sng
at	cn
renna	sng
har	aa
okkurt	fbheo
kvøldið	nheog
,	pk
væntar	svg3en
hann	fpken
.	pl

Sáttmálanevndin	nveng	UNKNOWN
,	pk
ið	ct
hevur	svg3en	UNKNOWN
staðið	sþmhen
fyri	af
arbeiðinum	nheþg
við	af
Hvítubók	nveþ	UNKNOWN
,	pk
vísir	svg3en
á	af
,	pk
at	c
ein	fbven
av	af
teimum	favfþ
fýra	tf
høvuðsleiðunum	nvfþg	UNKNOWN
millum	af
verandi	slg	UNKNOWN
heimastýrisskipan	nveo	UNKNOWN
og	c
fullveldi	nheo
,	pk
nevniliga	aa
skipanin	nveng
»	pg	UNKNOWN
frælsur	lkensf
felagsskapur	nken
«	pg	UNKNOWN
flytur	svg3en
áhugan	nkeog
burtur	aa
frá	af
spurninginum	nkeþg
um	af
,	pk
hvørt	c
stjórnarrættarliga	lvenvf	UNKNOWN
støða	nven
Føroya	nvfe-s	UNKNOWN
er	svg3en
sambærlig	lvensf
við	af
donsku	lveovf	UNKNOWN
grundlógina	nveog
.	pl

-	pa
Jú	au	UNKNOWN
fleiri	aam	UNKNOWN
millumloysnir	nvfn	UNKNOWN
eru	svg3fn	UNKNOWN
,	pk
jú	au	UNKNOWN
verri	aam	UNKNOWN
verður	svg3en
tað	fphen
at	cn
fáa	sng
eina	fbveo
skiftistíð	nveo
at	cn
vera	sng
eina	fbveo
nýggja	lveosf
byrjan	nveo
fyri	af
Føroyar	nvfo-s	UNKNOWN
.	pl

Hann	fpken
vísir	svg3en
somuleiðis	aa
á	af
,	pk
at	c
júst	aa
hetta	fahen
eisini	aa
sýnir	svg3en
okkum	fp1fo
,	pk
at	c
eini	fbveþ
tjóð	nveþ
ikki	aa
longur	aa
nýtist	svm3fn
at	cn
hava	sng
stórt	lheosf
hernaðarligt	lheosf
vald	nheo
fyri	aa
at	cn
vera	sng
sjálvstøðug	lvensf
.	pl

Tó	aa
órógvar	svg3en
hetta	fahen
ikki	aa
Høgna	nkeo-s	UNKNOWN
Hoydal	nkeo-s	UNKNOWN
tað	fphen
minsta	aae	UNKNOWN
.	pl

Í	af
samgonguskjalinum	nheþg
stendur	svg3en
,	pk
at	c
virkast	snm	UNKNOWN
skal	svg3en
fyri	af
,	pk
at	c
barnsburðargrunnur	nken	UNKNOWN
verður	svg3en
settur	sþmken
á	af
stovn	nkeo
fyri	af
allar	fbkfo
partar	nkfo
á	af
arbeiðsmarknaðinum	nkeþg
.	pl

Hetta	fahen
hevur	svg3en	UNKNOWN
landsstýrismaðurin	nkeng
ikki	aa
gjørt	sþmhen
enn	aa
.	pl

-	pa
Upprunaliga	aa
skuldi	svg3eþ	UNKNOWN
ALS	ks
vera	sng
ein	fbven
sjálvboðin	lvensf
skipan	nven
millum	af
partarnar	nkfog
á	af
arbeiðsmarknaðinum	nkeþg
,	pk
men	c
í	af
síðstu	lveþse
løtu	nveþ
varð	svg3eþ	UNKNOWN
hetta	fahen
broytt	sþmhen
við	af
lóg	nveþ
í	af
tinginum	nheþg
til	af
eina	fbveo
tvungna	sþgveo	UNKNOWN
skipan	nveo
.	pl

Men	c
áðrenn	c
tað	fphen
kemur	svg3en
hartil	aa
,	pk
havi	svg1en
eg	fp1en
skyldu	nveo
til	af
at	cn
kanna	sng
allar	fbkfo
aðrar	fbkfo
møguleikar	nkfo
fyrst	aae
.	pl

-	pa
Vit	fp1fn
eru	svg3fn	UNKNOWN
til	af
reiðar	nvee
at	cn
fara	sng
í	af
gongd	nveo
aftur	aa
,	pk
nær	aa
tað	fphen
skal	svg3en
vera	sng
.	pl

Spurningurin	nkeng
var	svg3eþ
,	pk
um	c
fólk	nhfn
í	af
Undirvísingar	nheþg
-	pa
og	c
mentamálastýrinum	nheþg	UNKNOWN
av	af
sínum	fphfþ
eintingum	nhfþ	UNKNOWN
arbeiða	svg3fn
við	af
málum	nhfþ
,	pk
sum	ct
vit	fp1fn
í	af
Lærarafelagnum	nheþg
stríðast	svm1fn
um	af
yvir	aa
um	af
borðið	nheog
við	af
Fíggjarmálastýrið	nheog	UNKNOWN
.	pl

Vit	fp1fn
kunnu	svg3fn	UNKNOWN
ikki	aa
halda	sng
fram	aa
við	af
at	cn
góðtaka	sng
,	pk
at	c
sagt	sþmhen
verður	svg3en
alla	fbveo
tíðina	nveog
,	pk
at	c
eingir	fbkfn
pengar	nkfn
eru	svg3fn	UNKNOWN
,	pk
tá	c
ið	c
ein	fbven
nýggj	lvensf
lóg	nven
er	svg3en
samtykt	sþmven
og	c
komin	sþmven	UNKNOWN
í	af
gildi	nheo
,	pk
sigur	svg3en
Elsa	nven-s	UNKNOWN
Birgitta	nven-s	UNKNOWN
Petersen	n----s	UNKNOWN
.	pl

Fýra	tf
fylgjandi	slg
hóskvøld	nheo
fara	svg3fn
ymisk	lhfnsf
skapandi	slg
fólk	nhfn
at	cn
lesa	sng
upp	aa
,	pk
syngja	sng
og	cn
spæla	sng
,	pk
sýna	sng
fram	aa
og	c
annað	fbheo
.	pl

Oddfríður	nken-s	UNKNOWN
var	svg3eþ
ímillum	af
tey	fahfo
fáu	lhfovf	UNKNOWN
útvaldu	sþghfo	UNKNOWN
,	pk
sum	ct
sluppu	svg3fþ
inn	aa
á	af
danska	lkeþvf
rithøvundaskúlanum	nkeþg	UNKNOWN
í	af
Keypmannahavn	nveþ-s	UNKNOWN
.	pl

Tað	fphen
serliga	lhensf
við	af
hesum	faheþ
tiltaki	nheþ
er	svg3en
,	pk
at	cn
øll	fbhfn
sum	c
skipa	svg3fn
fyri	aa
og	cn
luttaka	svg3fn
hesi	fahfo
kvøldini	nhfog
-	pa
listafólkini	nhfng
,	pk
tey	fahfn
sum	c
gera	svg3fn
kaffi	nheo
,	pk
heingja	svg3fn
ljós	nhfo
upp	aa
og	c
gera	svg3fn
annað	fbheo
praktiskt	lheosf	UNKNOWN
arbeiði	nheo
,	pk
gera	svg3fn
hetta	faheo
